Age,Gender,Previous_GPA,Attendance,Study_Hours_PerWeek,Major,Uni_Type,Financial_Status,Motivation,Stress_Levels,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Hours_PerDay,Nutrition,Screen_Time_PerDay,Educational_Tech_Use,Bullying,Learning_Style,Lack_of_Interest,GPA
19,F,3.7,91,5,Arts,Private,Medium,Medium,High,Medium,50,,6,Healthy,7,Yes,,Kinesthetic,Medium,2.7
21,F,1.7,99,9,Engineering,,High,Low,Low,High,31,,7,Balanced,4,No,No,Kinesthetic,Low,1.3
20,M,4,,14,,Public,Low,Low,Low,High,,No,6,Balanced,6,No,No,Auditory,Low,2.3
21,F,1.3,72,8,Medicine,Public,Low,High,,Low,54,,,Unhealthy,8,Yes,No,Visual,Medium,2.7
18,M,3,80,11,Business,,High,,Medium,Medium,73,Yes,4,Balanced,4,Yes,Yes,Auditory,Medium,
22,M,,89,,Science,Public,Low,Medium,High,Low,57,,7,Balanced,7,,Yes,,Low,2.7
20,F,1.7,84,18,Medicine,Public,High,High,High,Medium,36,Yes,9,Healthy,5,No,No,Visual,Low,
21,M,2.7,73,7,Law,Private,High,High,High,High,91,Yes,5,Unhealthy,,,No,Kinesthetic,Low,3
21,F,2,,11,Arts,Private,High,High,Medium,Low,,Yes,9,Balanced,4,Yes,Yes,Kinesthetic,Medium,1
20,,2,86,14,Business,Public,Medium,Low,Medium,,95,Yes,7,Healthy,6,Yes,Yes,Auditory,Medium,4
22,F,2.7,71,5,Law,Public,High,High,Low,High,37,No,7,,7,No,No,,Low,1.7
20,F,3.7,82,10,Business,Private,Low,Low,High,Medium,35,No,6,Unhealthy,7,No,No,Kinesthetic,Low,2.3
19,M,1,89,9,Law,Public,High,,High,Low,61,Yes,7,Balanced,3,No,No,Kinesthetic,Low,1.3
19,F,2.7,91,7,Science,Private,Low,Medium,High,Medium,100,No,8,Unhealthy,4,Yes,Yes,,High,2
18,F,2.3,74,7,Law,Public,High,High,Low,Low,35,No,9,,4,,Yes,Visual,Low,3.3
21,F,3.3,81,12,Law,Public,Medium,High,Low,Low,77,No,5,Balanced,6,No,No,Visual,Medium,3
22,M,1.7,,11,Law,Public,,Medium,Low,High,85,Yes,6,Healthy,8,No,No,Kinesthetic,Low,2
,F,1,,15,Medicine,Public,Medium,High,High,Low,96,No,7,Unhealthy,10,Yes,,Auditory,High,
20,F,3,72,6,Business,Public,High,Medium,Medium,Low,95,,7,Unhealthy,9,No,No,Kinesthetic,,2.3
19,M,2,100,15,Law,Public,Medium,,,,51,Yes,6,Healthy,3,Yes,No,Visual,Low,4
20,M,1.7,97,12,Law,Private,Medium,High,High,High,26,No,9,,3,No,Yes,Auditory,Medium,2.3
19,M,2,87,10,Law,Private,,Low,Medium,Low,,Yes,9,Healthy,4,No,Yes,Auditory,Low,1
21,M,3.3,91,10,,Public,High,Low,Medium,High,52,Yes,6,Balanced,5,No,Yes,Kinesthetic,High,2.3
18,M,1,81,12,Medicine,Public,Low,High,High,Medium,58,Yes,,Unhealthy,3,No,,Visual,Low,2.3
19,F,3,84,16,Business,Private,High,Low,Medium,Low,,Yes,8,Balanced,5,Yes,Yes,Auditory,Medium,2.7
22,M,3.7,83,9,Arts,Private,Medium,High,Low,High,20,Yes,9,Unhealthy,8,No,No,Kinesthetic,Low,1.3
19,M,3.3,90,10,Law,Public,Medium,Low,Low,Medium,86,Yes,,Unhealthy,9,No,Yes,Visual,High,3.7
20,F,1.7,,8,Medicine,,Medium,Low,Medium,High,,,9,Balanced,2,,Yes,Kinesthetic,High,3.3
,M,3.7,99,19,Science,Private,High,Low,High,Low,75,Yes,6,Unhealthy,4,Yes,No,Kinesthetic,Low,1.7
21,M,3.7,77,16,Science,,Medium,Medium,Low,,68,No,7,Healthy,7,No,No,Visual,Low,2.3
22,F,1.3,,17,Arts,Public,Medium,Low,High,High,95,No,6,Balanced,8,Yes,No,Visual,Medium,3.7
18,M,2.7,82,17,Medicine,Public,Low,Low,High,High,65,No,,Unhealthy,10,No,Yes,Visual,,3.3
21,M,2.3,90,13,Engineering,Public,High,Low,Low,Medium,30,No,6,Balanced,,,Yes,Auditory,Medium,2
18,M,2,92,10,Law,,Medium,Low,High,Medium,34,Yes,8,Balanced,9,Yes,Yes,Auditory,High,2.3
21,M,3,97,11,Science,Public,Low,Low,Low,High,,No,5,Healthy,,No,No,Visual,,1.3
18,M,3,90,19,Law,Private,High,Medium,Low,High,,Yes,7,Healthy,4,No,Yes,Visual,,2.3
20,F,2.7,77,12,Science,Private,High,Low,High,Medium,45,No,4,Unhealthy,3,Yes,No,Auditory,High,1.3
20,M,3.7,82,15,Medicine,Public,Low,Medium,Medium,Medium,69,No,9,Balanced,10,No,No,Auditory,High,3
20,M,2.7,93,6,Law,Private,,Medium,Low,Medium,52,,8,Healthy,,Yes,No,Kinesthetic,High,3.7
,F,1,82,12,Engineering,Private,Medium,Low,Low,Medium,99,No,7,Healthy,5,Yes,Yes,Visual,Low,
21,F,3.7,82,,Engineering,Private,Medium,Low,Low,High,100,Yes,4,Healthy,8,Yes,No,Kinesthetic,High,2.7
20,F,3.3,93,15,Business,Public,Medium,Medium,High,Medium,69,Yes,9,Unhealthy,4,No,No,Auditory,Medium,
19,F,3.3,92,14,Medicine,Public,High,Medium,Low,High,53,Yes,6,Unhealthy,3,Yes,Yes,Visual,High,4
18,F,2,,17,Arts,Public,Low,Medium,Low,High,,No,9,Healthy,2,Yes,No,Visual,Low,1.7
18,M,3.7,84,7,,Public,Low,Medium,Low,Medium,42,No,4,Unhealthy,,No,Yes,Auditory,Low,3.3
18,,,73,17,,Public,Medium,,,Low,,No,5,Balanced,4,Yes,No,Visual,,1.7
21,M,3,98,17,Arts,Private,Medium,Medium,Low,High,,No,4,Healthy,5,No,Yes,Auditory,High,2.7
18,F,3,74,,Arts,Public,Low,,Medium,Medium,,Yes,4,Unhealthy,3,No,Yes,Visual,High,4
22,F,3.3,80,18,Law,Private,Low,High,Medium,High,86,Yes,9,Healthy,9,No,No,Auditory,,2
21,F,3,79,11,Engineering,Private,Low,Medium,Medium,Low,75,No,8,Balanced,6,Yes,No,Visual,High,3.7
21,F,4,84,20,Business,Private,Medium,Medium,High,Medium,78,No,7,Healthy,7,No,Yes,,High,3
21,M,2.3,,13,Medicine,Public,Low,Low,Low,Low,,Yes,8,Healthy,3,Yes,Yes,Visual,,3.7
19,M,2,82,12,Arts,Public,Low,Low,High,Low,80,Yes,8,Balanced,,Yes,Yes,Auditory,Medium,2.7
18,F,3.7,75,14,Engineering,Public,Low,High,High,Low,61,Yes,5,Balanced,10,No,No,Kinesthetic,High,4
21,M,1.7,76,,Science,Public,Low,High,Medium,Medium,30,Yes,5,Unhealthy,,Yes,Yes,Auditory,Low,2
,M,1.3,73,19,Science,Public,Medium,Medium,Low,,34,No,7,Unhealthy,9,No,No,Kinesthetic,High,
19,M,1.7,88,7,Law,Public,Medium,Low,Medium,,26,Yes,7,Unhealthy,2,No,No,Auditory,High,3
21,F,1.3,78,11,Business,Public,Medium,Low,Medium,Medium,92,Yes,8,Healthy,,,,Visual,Low,
19,M,3,71,14,Engineering,Public,Medium,High,Medium,,87,Yes,7,Unhealthy,6,No,No,Kinesthetic,High,1.3
,,3,88,10,Arts,Private,Medium,Low,Medium,Low,26,Yes,7,Unhealthy,9,Yes,No,Visual,Medium,1.7
18,F,1,,15,,Public,Low,High,High,Medium,53,Yes,,Unhealthy,8,Yes,,Visual,High,3.3
19,F,1.3,,20,Medicine,Public,,Medium,Medium,Medium,25,Yes,6,Healthy,9,Yes,,Kinesthetic,Low,2.7
21,M,1.3,99,7,Science,Private,Medium,High,,Low,44,Yes,4,Balanced,8,Yes,No,Kinesthetic,High,4
22,M,2,75,7,Business,Public,Medium,,,High,,No,8,Unhealthy,3,Yes,No,Kinesthetic,High,1.7
22,F,2.3,76,18,Law,Public,,Low,High,High,,No,,Balanced,7,No,No,Visual,Medium,1.3
20,F,1.7,85,12,Law,Public,,Low,Medium,Medium,54,No,4,Unhealthy,2,No,No,Visual,High,1
20,F,3.3,79,9,Science,Public,Medium,Low,Medium,,95,Yes,8,Healthy,8,Yes,,Kinesthetic,High,2
22,F,3.3,78,8,Medicine,Private,High,Medium,Medium,Medium,49,Yes,7,Unhealthy,7,No,No,Kinesthetic,High,
18,F,1.3,76,,Science,Public,Medium,High,Medium,Medium,71,No,6,Balanced,6,No,No,Kinesthetic,High,4
18,F,3.3,83,15,Business,Private,High,Low,,,65,Yes,8,Healthy,8,No,Yes,Auditory,,2
18,M,2.7,70,12,Science,Public,Medium,High,Medium,Medium,63,No,8,Healthy,5,Yes,Yes,Visual,Medium,4
19,M,4,71,9,Science,Public,Low,Medium,Low,High,96,,5,Balanced,4,Yes,No,Auditory,Medium,3.7
20,M,2.3,72,19,Law,Public,High,High,High,High,50,No,9,Balanced,7,Yes,No,,High,3
21,F,2.7,92,16,Science,Public,Low,Medium,High,Low,96,,6,Healthy,2,,No,Auditory,Low,4
20,F,1,83,,Medicine,Private,Medium,High,High,Medium,31,,7,Healthy,3,Yes,Yes,Visual,Medium,2.3
18,M,2.3,86,18,Business,Private,Medium,,Low,Medium,80,No,6,Balanced,7,,No,,Low,
19,M,1,96,16,Arts,,Medium,High,Low,Medium,50,No,9,Balanced,8,No,Yes,Kinesthetic,Medium,3.3
22,M,3.7,71,6,Business,,Low,High,Low,Medium,32,No,5,Unhealthy,6,No,No,Kinesthetic,Low,2.3
21,M,3,82,15,Science,Private,High,Low,Medium,Medium,25,Yes,4,Balanced,6,Yes,No,,High,2
18,M,1.3,,17,,Public,High,High,Medium,Low,36,Yes,4,Healthy,6,No,Yes,Kinesthetic,High,3.3
19,F,4,95,16,Science,Public,Medium,Medium,High,Low,91,No,5,Balanced,5,No,No,Auditory,Medium,1
21,M,2.3,93,7,Medicine,Private,Low,Low,Medium,Low,33,No,9,Unhealthy,3,Yes,No,Kinesthetic,Low,3.7
21,F,1.7,74,5,Business,Private,Low,High,Low,,31,No,9,Unhealthy,5,,No,Kinesthetic,Low,2.7
18,M,2.3,75,6,Science,Public,Low,Medium,Low,Low,67,No,,Unhealthy,2,No,No,Visual,High,2.7
18,,1.3,,14,Engineering,Private,High,High,Medium,High,40,Yes,5,Unhealthy,4,No,No,Auditory,Low,3.3
20,,2.7,100,11,Science,Private,Low,Medium,Medium,Low,27,No,7,Balanced,6,No,Yes,Visual,High,
,F,2,,16,Law,Public,Medium,Medium,Low,Low,95,No,9,Balanced,9,Yes,Yes,Kinesthetic,Low,2
22,M,2,95,10,Medicine,Public,Low,High,High,Medium,59,No,5,Balanced,4,Yes,No,Auditory,Low,2
21,M,,92,17,Medicine,Public,,Medium,High,Low,,Yes,7,Unhealthy,10,,Yes,Kinesthetic,,3.3
,F,3,75,19,Science,Public,High,Low,Medium,Low,50,,9,,3,No,Yes,Visual,High,3.7
22,M,2.7,99,7,Law,Public,Medium,Low,High,Medium,60,Yes,9,Unhealthy,10,No,Yes,,High,3
18,M,3,94,20,Arts,Private,Medium,Medium,,Medium,49,Yes,8,Unhealthy,,No,Yes,Visual,Low,
20,M,3.3,99,19,Law,Public,Low,Medium,,High,42,Yes,,Healthy,8,,No,Kinesthetic,,4
21,F,2,,6,Engineering,,Medium,,Low,Low,71,No,4,Balanced,9,Yes,No,Auditory,Medium,3.7
21,F,1,88,10,Engineering,,Low,,Low,Low,86,Yes,,Healthy,6,Yes,No,Kinesthetic,Medium,3.3
18,F,2.7,100,16,Business,Private,High,High,High,Medium,25,Yes,7,Unhealthy,10,Yes,No,Auditory,High,1
20,M,3.7,84,15,Arts,Private,Medium,High,Medium,,100,No,,Balanced,7,,,Kinesthetic,High,1.3
,F,4,85,10,Arts,Private,High,Medium,High,Low,90,No,7,,10,No,No,Auditory,Medium,2.7
,M,,98,12,Business,Public,High,Low,Low,High,60,Yes,9,Unhealthy,9,No,No,Auditory,,2
20,M,4,74,7,Medicine,Private,,Medium,High,Medium,26,Yes,5,Healthy,,No,Yes,Auditory,Low,1
,M,3.3,99,20,Arts,,Low,Low,Low,Low,20,,8,Healthy,5,Yes,No,Auditory,Low,2.3
18,M,3,84,6,Law,Private,Medium,High,Medium,Medium,23,No,5,Balanced,7,No,No,Kinesthetic,Low,2
,F,,85,19,Business,Private,Medium,High,Medium,Low,,No,9,Unhealthy,2,Yes,No,Visual,Medium,
,M,2.3,92,8,Medicine,Private,High,Medium,Medium,Low,70,No,8,Balanced,3,No,Yes,Kinesthetic,High,1
20,M,3,100,6,,Public,Low,High,Low,Medium,23,No,6,Balanced,9,,No,Kinesthetic,Medium,2.3
18,F,1.3,87,8,Engineering,Public,High,Low,Medium,Medium,75,Yes,7,Unhealthy,4,Yes,Yes,Kinesthetic,,1.3
,M,2,83,11,,Public,,Low,Low,Medium,68,No,9,Unhealthy,4,No,No,Kinesthetic,Low,3.3
22,F,1.7,77,,Arts,Public,High,High,High,Medium,83,Yes,6,Healthy,7,Yes,Yes,Kinesthetic,High,1.3
19,M,3,95,9,Engineering,Private,Low,Medium,Medium,Medium,43,,6,Balanced,2,,Yes,Auditory,Low,1
19,F,1.7,87,6,Law,,Medium,High,Medium,Medium,,No,4,Healthy,2,Yes,Yes,Kinesthetic,Medium,3
20,F,,70,6,Law,Public,Low,Low,Medium,Medium,63,Yes,5,Balanced,7,,No,Visual,,1.3
22,,,97,,Science,Public,Medium,Low,High,Medium,30,No,7,Unhealthy,,No,Yes,Auditory,High,1
20,F,1,98,8,Science,Public,High,Medium,Low,Low,33,No,5,Healthy,,Yes,Yes,Visual,Low,2.7
18,F,1,96,7,Arts,Private,Low,Medium,,Medium,85,No,9,Healthy,6,No,Yes,Visual,Low,1.7
22,M,3.3,95,6,Law,Public,High,Low,Low,Medium,,No,4,Healthy,10,Yes,No,Auditory,Medium,2
18,F,2.3,74,16,Law,Private,Low,High,Low,Medium,29,Yes,4,Healthy,9,No,No,Auditory,High,3.7
21,M,1,90,12,Law,Public,Medium,Medium,Medium,Medium,44,No,5,Balanced,8,Yes,,Kinesthetic,High,
19,F,1.3,87,20,Business,Private,High,Medium,Medium,Low,,No,,Balanced,10,No,Yes,Kinesthetic,High,3.3
,F,1.7,95,,Medicine,Private,Low,Medium,,Low,24,,6,Balanced,8,Yes,Yes,Auditory,Low,2.7
19,M,2,85,5,Arts,Public,Medium,High,Low,Low,83,No,5,Balanced,6,No,Yes,Kinesthetic,High,2.3
18,,2.7,,16,Law,Private,High,Medium,Medium,Low,51,Yes,9,Unhealthy,10,No,No,Auditory,,3.7
22,M,3.3,92,8,Science,Public,Medium,Medium,Medium,Medium,33,No,,Healthy,,No,Yes,Kinesthetic,High,2.3
22,F,1.3,83,20,Medicine,Private,Medium,High,High,High,57,Yes,8,Unhealthy,9,No,No,Auditory,,2.7
20,,2.3,82,20,Engineering,Private,Low,Low,Low,High,30,No,5,Unhealthy,2,No,Yes,Auditory,Medium,1.7
19,M,1.3,93,5,Medicine,Public,Low,Low,Medium,High,49,Yes,7,Healthy,,No,No,Auditory,Medium,1
,F,1,81,,Science,Private,High,High,High,,31,Yes,8,Unhealthy,9,No,Yes,Auditory,,1.3
21,F,4,85,11,Medicine,Public,Medium,Medium,Medium,Medium,94,Yes,9,Healthy,6,Yes,,Kinesthetic,Low,2.7
22,F,2.7,72,20,Business,Public,High,High,Medium,Medium,24,Yes,6,Unhealthy,10,Yes,No,Visual,Low,3.7
22,M,2,84,16,Law,Private,Low,Low,,High,51,No,8,Unhealthy,5,No,No,Visual,Low,
18,M,2,92,10,Business,Private,Low,Low,Low,Low,97,Yes,8,Balanced,,No,No,Visual,Low,2
18,F,3.7,,,Science,Public,Low,Low,Low,Low,,No,4,Healthy,10,Yes,No,Auditory,Medium,
18,F,3,89,17,Arts,Private,High,Medium,Medium,Low,,Yes,7,Unhealthy,7,No,Yes,Visual,Medium,2.3
22,M,2.3,73,11,Engineering,Private,Low,High,Medium,Low,52,Yes,,Unhealthy,6,No,No,Kinesthetic,Medium,2.7
18,F,3,72,12,Arts,Private,Medium,High,Low,Medium,31,Yes,5,Healthy,5,No,Yes,Visual,,1.3
19,F,1.7,92,13,Science,Private,Medium,Low,Medium,Medium,46,Yes,6,Unhealthy,,Yes,Yes,Visual,High,2.7
21,,,84,7,Arts,Private,High,Low,Medium,,,No,4,Balanced,7,Yes,No,Kinesthetic,Low,4
19,F,1.3,90,10,Business,Public,Medium,High,High,High,41,No,9,Healthy,9,No,Yes,Visual,High,3.3
18,M,3.3,,15,Medicine,Private,High,Low,High,Low,100,Yes,4,Unhealthy,3,Yes,Yes,,High,1
,M,4,77,11,Engineering,Private,Medium,High,Low,Low,96,Yes,5,Balanced,8,No,Yes,Visual,High,3.3
22,F,2.7,79,14,Arts,Private,Medium,Medium,Low,,66,No,5,Healthy,5,No,No,Auditory,Medium,2.7
,M,1.7,90,18,Law,Public,,,High,,23,,7,Balanced,7,Yes,No,Auditory,Low,4
19,M,3,87,16,Engineering,,High,Medium,Medium,Medium,76,Yes,5,Balanced,2,No,Yes,Kinesthetic,Medium,3
21,F,2.3,88,15,Engineering,Public,Low,Low,Medium,High,56,Yes,9,Balanced,6,Yes,Yes,Auditory,Low,2.7
18,F,2,83,6,Engineering,Public,Low,Medium,High,High,89,Yes,4,,2,No,Yes,Visual,Medium,3.3
18,F,1,95,,Law,Private,Low,Medium,Medium,High,,,9,Unhealthy,5,,Yes,Kinesthetic,High,3
21,F,1,93,17,Engineering,Public,Medium,High,High,,40,Yes,,,2,Yes,No,Visual,Low,1
,M,3,87,7,Engineering,Private,High,Low,High,High,69,No,6,Healthy,4,No,Yes,Auditory,Low,
19,M,1,72,12,Arts,Private,Low,Medium,,Medium,97,No,8,Unhealthy,9,No,No,Auditory,Low,3.7
,M,3.3,77,,Business,Public,Low,Medium,Medium,High,82,No,,Healthy,8,,Yes,Auditory,Medium,3
,M,3,70,18,Business,Public,,Medium,Medium,High,56,No,4,Unhealthy,7,Yes,Yes,Visual,Medium,2.7
18,M,3.7,,5,Medicine,Private,Low,Medium,Medium,Medium,45,,,Unhealthy,,Yes,Yes,Auditory,Low,1.3
18,M,1,89,5,Medicine,Private,Medium,Low,Low,Low,,No,,Balanced,4,Yes,Yes,Kinesthetic,Low,4
,F,2.3,82,10,Science,Public,Low,Medium,High,High,72,No,7,Balanced,7,No,,Kinesthetic,Medium,3.3
18,F,3,84,15,Law,Private,High,Medium,,Medium,88,Yes,5,,9,Yes,No,Auditory,Low,2.7
22,M,3,76,13,Medicine,Public,High,Medium,Low,Low,40,No,6,Balanced,,Yes,No,Visual,Medium,3.3
20,M,1,98,14,Science,Private,Medium,Low,Low,,83,No,4,Unhealthy,7,No,Yes,Visual,Low,1.3
19,M,,89,8,,Private,Low,High,Medium,High,78,Yes,5,Healthy,,Yes,,Kinesthetic,High,2.3
22,F,2.7,97,15,Business,Private,Low,High,,Low,65,No,,Unhealthy,6,Yes,No,Auditory,Medium,
22,F,2.7,73,18,Law,Public,Medium,Low,Medium,Medium,54,No,8,,4,No,,Visual,Medium,2.3
18,F,2.3,77,10,Engineering,,Medium,High,High,High,88,Yes,,Healthy,9,Yes,,Kinesthetic,Low,1
,F,3.7,73,8,Business,Public,High,High,High,Low,86,No,,Healthy,6,Yes,No,Kinesthetic,Low,2
18,F,1,,,Science,Public,High,Medium,Low,,68,Yes,7,Balanced,9,No,,Visual,Medium,1
22,M,1,80,8,Engineering,Public,Low,Medium,High,Medium,81,,8,Balanced,3,No,No,Visual,Medium,3.7
,M,3.3,75,5,Engineering,Public,Medium,Low,Low,,,No,4,Balanced,4,No,,,High,
19,M,4,70,7,Medicine,Public,Medium,Low,Low,Low,32,Yes,,Balanced,4,Yes,No,Kinesthetic,Low,1
19,F,3.7,97,19,Business,,High,,High,Low,73,Yes,8,Balanced,7,No,Yes,Auditory,Low,
22,M,2.7,84,10,Medicine,Private,High,Low,High,High,40,Yes,9,Healthy,4,No,No,Kinesthetic,Low,1.3
,M,1,98,16,Medicine,Public,High,,Low,High,81,No,4,,4,Yes,Yes,Kinesthetic,,2.7
21,M,1.3,,10,Law,Private,Low,Low,Medium,Medium,22,No,4,Healthy,2,No,Yes,Auditory,Medium,1.3
21,M,,100,,Engineering,Public,High,Low,Medium,Low,73,No,7,Healthy,7,No,No,Auditory,Low,
19,F,3,,,,Private,Medium,,Low,Medium,83,,,Unhealthy,9,,Yes,,Low,4
,F,4,96,17,,Public,Medium,High,Low,Low,20,Yes,4,Unhealthy,10,No,No,Auditory,Medium,2.7
21,F,1.3,,5,,Private,,Low,,,40,Yes,8,Balanced,8,Yes,No,Kinesthetic,Low,4
20,M,1.3,98,19,Medicine,,,High,Low,Medium,86,No,9,Balanced,,No,No,Auditory,,2.7
,M,,87,10,Business,Public,,Low,High,High,96,Yes,7,Balanced,2,No,Yes,Visual,High,2
20,,2,95,20,Medicine,,Low,,Medium,Medium,93,No,,Healthy,6,Yes,Yes,Auditory,,1
19,F,3.3,93,19,Science,Public,,High,Low,High,54,Yes,6,Healthy,4,No,Yes,Auditory,Low,1.3
18,F,1,79,18,Law,Private,Medium,High,High,Low,,Yes,9,,4,No,Yes,Kinesthetic,Low,
18,F,3.3,73,13,Business,,,High,High,High,49,Yes,4,Healthy,4,No,No,Kinesthetic,Low,1
21,F,1,95,,Law,Private,High,High,High,Medium,40,Yes,6,Balanced,,Yes,No,Visual,Medium,3.7
22,M,2.3,99,,Engineering,Public,Medium,Low,Medium,High,67,No,5,Balanced,2,Yes,No,Visual,Medium,3.7
19,M,4,77,11,Medicine,Private,High,Low,Medium,Medium,64,No,9,Balanced,8,Yes,,Kinesthetic,Low,4
,F,2.3,72,11,Science,Public,Medium,Low,High,Medium,35,No,,Healthy,,No,Yes,Kinesthetic,High,3
19,F,1.7,75,7,Medicine,Private,High,Medium,High,High,26,Yes,4,Unhealthy,8,Yes,Yes,Visual,High,2
18,F,3.3,81,5,Arts,Public,Medium,,Low,Low,,Yes,5,Healthy,3,Yes,No,Visual,High,2.7
18,F,,74,18,Business,Public,High,High,High,High,76,No,4,Healthy,2,Yes,No,Kinesthetic,Medium,2.7
19,M,2.7,84,14,Science,Public,Medium,High,Low,Medium,57,Yes,4,Unhealthy,3,Yes,No,,Low,1.7
20,,2.7,77,10,Law,Public,Medium,Medium,Low,High,78,No,4,Healthy,7,Yes,Yes,Auditory,Low,1.3
21,F,1.3,91,14,Science,,High,Low,Medium,Medium,88,No,7,Unhealthy,10,Yes,,Visual,Medium,3.3
18,,2.7,96,,,Public,Low,High,High,Low,79,Yes,6,Healthy,,Yes,,Kinesthetic,Medium,4
22,F,,80,19,Arts,Private,Medium,Medium,Medium,High,54,,7,Healthy,10,No,Yes,Visual,,1.3
20,M,3,95,9,Engineering,,Low,Medium,Medium,Low,36,No,9,Unhealthy,8,No,Yes,Auditory,Medium,3.3
21,,4,94,14,Engineering,Public,High,Medium,Low,Medium,97,Yes,8,Healthy,2,Yes,Yes,Kinesthetic,High,3.7
18,F,3.7,70,13,Law,Public,High,Medium,Low,Low,,,9,,9,No,Yes,Auditory,Low,2.3
,M,1.3,82,12,Arts,Private,Medium,High,Low,High,68,Yes,4,Balanced,10,No,No,Visual,,2.3
19,F,2.3,81,10,Engineering,Private,Low,Low,Medium,High,83,No,8,Healthy,2,Yes,No,Kinesthetic,Medium,2
22,F,2,71,12,Business,Private,Medium,,Low,,77,No,,Unhealthy,3,Yes,Yes,Auditory,Low,
21,M,4,71,10,Business,Public,Medium,Medium,Medium,Medium,73,Yes,9,Balanced,3,No,Yes,,High,2.3
19,M,1.3,71,8,Law,Private,Medium,Medium,,Low,66,No,7,Balanced,9,No,No,Auditory,High,4
21,F,3.7,97,6,Engineering,Public,Medium,High,Medium,Low,22,No,5,Healthy,5,Yes,Yes,Visual,Low,2.3
22,F,1.3,70,15,Medicine,Public,Low,Medium,High,High,23,No,5,Healthy,9,,,Visual,High,3.7
20,F,2.7,77,14,Science,Public,Low,High,High,,42,Yes,,Healthy,8,No,No,Visual,Medium,1.7
21,F,2,71,,Law,Private,High,Low,High,High,75,Yes,7,,3,No,Yes,Auditory,Low,1.7
22,M,,,8,,Public,High,,Low,Low,100,No,5,Unhealthy,4,No,No,,Low,4
22,F,3.3,73,12,Engineering,Public,Low,High,High,High,88,Yes,5,Unhealthy,10,Yes,No,Auditory,Low,2.3
,M,3.3,94,20,Arts,Private,,Medium,Low,Low,79,No,6,Unhealthy,10,,Yes,,Medium,1.7
22,M,3,93,16,Business,Public,Medium,Medium,High,High,43,No,8,Unhealthy,2,Yes,No,Kinesthetic,,2
22,F,,,,Medicine,Private,Medium,High,Low,High,25,No,8,,10,No,Yes,,Low,1.7
21,M,3.7,,,Engineering,Private,Low,Low,Low,Medium,93,No,8,,8,Yes,Yes,Visual,Medium,1
19,M,2,73,19,,Public,Low,Medium,High,Medium,57,Yes,7,Healthy,6,Yes,,Kinesthetic,High,
22,M,1.7,85,14,Medicine,Private,Low,High,Low,Low,84,Yes,6,Healthy,,No,Yes,Auditory,Low,2
19,M,,75,14,Medicine,Private,,Medium,Medium,Low,98,Yes,4,Healthy,4,No,Yes,Visual,High,2.3
22,M,3.3,78,13,Science,Public,Medium,High,Medium,Medium,21,,9,Healthy,7,Yes,No,Auditory,Low,3
,M,1.7,,,Business,Private,High,High,Medium,High,53,Yes,5,Healthy,7,Yes,Yes,Auditory,High,4
18,M,2,89,13,Science,Private,Low,High,Low,High,30,No,4,Healthy,8,No,,Kinesthetic,,
18,F,,84,17,Science,Public,,Medium,Medium,Medium,93,Yes,4,Unhealthy,5,No,,Visual,High,3.3
21,F,2.3,84,7,Science,Private,Low,High,Medium,Low,99,Yes,4,Unhealthy,,,Yes,Visual,Medium,3.3
22,F,2.7,83,,,Private,High,High,Medium,Medium,84,Yes,,Balanced,2,Yes,Yes,Kinesthetic,Low,1.7
20,M,1,79,11,Law,Public,Medium,Low,High,Low,24,No,5,Healthy,8,Yes,,Kinesthetic,Low,
18,M,4,93,14,Arts,Private,Medium,Low,Low,Low,37,No,6,Unhealthy,9,Yes,Yes,Auditory,Low,3.7
21,F,4,73,15,Engineering,Private,High,Medium,Low,Medium,67,No,8,Unhealthy,2,No,No,Auditory,Medium,4
19,F,2,100,5,Business,Public,,,Low,Low,33,No,7,Healthy,5,No,No,Kinesthetic,Medium,2
19,M,1.7,72,10,Science,Private,Low,High,Low,Low,45,Yes,8,Healthy,4,Yes,No,Auditory,Medium,2
20,M,1.7,,5,Science,Public,Low,High,Low,High,48,No,9,Balanced,10,Yes,No,Visual,Medium,3.3
21,,2.3,83,5,Law,Private,Low,Medium,Low,Low,45,Yes,5,Balanced,7,Yes,No,Visual,High,2
21,M,3,84,20,Medicine,Private,High,High,Medium,High,89,No,7,Unhealthy,10,Yes,No,Kinesthetic,Medium,1.3
,M,3.7,98,,,Private,Low,Low,Low,Medium,34,No,8,,8,,No,Kinesthetic,Medium,3.3
20,M,2.7,95,6,Arts,Private,Medium,Medium,,Medium,47,Yes,7,Unhealthy,10,Yes,Yes,Auditory,High,1
21,F,1,82,14,Engineering,Public,Medium,High,Medium,High,82,Yes,6,Balanced,3,Yes,,Kinesthetic,Medium,2.7
21,F,2.7,87,10,Medicine,Public,,High,Low,Medium,68,No,6,,,Yes,No,Kinesthetic,,1.7
22,F,1.7,83,13,Medicine,Private,High,Low,Low,Low,75,No,6,Balanced,2,No,Yes,Kinesthetic,Medium,2.3
22,M,2.3,80,16,Medicine,Public,Medium,High,Medium,High,,,8,Healthy,8,Yes,Yes,Kinesthetic,High,2.3
18,M,3.3,,6,Medicine,Public,Medium,Medium,High,Low,49,,4,Healthy,10,No,Yes,Auditory,Medium,3
19,M,3.3,92,5,Arts,Private,High,High,High,Medium,49,Yes,9,,5,No,Yes,Kinesthetic,Low,2.7
